Retired point with ll = -6.195821207865028e6; accept = 0.15267175572519084; next nmcmc = 131
Retired point with ll = -6.131023417809898e6; accept = 0.1297709923664122; next nmcmc = 131
Retired point with ll = -6.037472897646785e6; accept = 0.1984732824427481; next nmcmc = 131
Retired point with ll = -5.971819604978264e6; accept = 0.06870229007633588; next nmcmc = 132
Retired point with ll = -5.9590076413866915e6; accept = 0.16666666666666666; next nmcmc = 132
Retired point with ll = -5.929166722035831e6; accept = 0.20454545454545456; next nmcmc = 131
Retired point with ll = -5.9209245508650085e6; accept = 0.20610687022900764; next nmcmc = 131
Retired point with ll = -5.896270750095644e6; accept = 0.16793893129770993; next nmcmc = 131
Retired point with ll = -5.731366152139723e6; accept = 0.13740458015267176; next nmcmc = 131
Retired point with ll = -5.7241680811814135e6; accept = 0.05343511450381679; next nmcmc = 132
Retired point with ll = -5.712743812215146e6; accept = 0.15151515151515152; next nmcmc = 132
Retired point with ll = -5.701441830958342e6; accept = 0.20454545454545456; next nmcmc = 132
Retired point with ll = -5.631287983168829e6; accept = 0.08333333333333333; next nmcmc = 132
Retired point with ll = -5.5893232689191885e6; accept = 0.13636363636363635; next nmcmc = 132
Retired point with ll = -5.536501725736909e6; accept = 0.21212121212121213; next nmcmc = 132
Retired point with ll = -5.52672917198218e6; accept = 0.14393939393939395; next nmcmc = 132
Retired point with ll = -5.513576017790123e6; accept = 0.20454545454545456; next nmcmc = 132
Retired point with ll = -5.3773465607710015e6; accept = 0.11363636363636363; next nmcmc = 132
Retired point with ll = -5.3731050711080795e6; accept = 0.14393939393939395; next nmcmc = 132
Retired point with ll = -5.330169684258595e6; accept = 0.21212121212121213; next nmcmc = 132
Retired point with ll = -5.317064681941041e6; accept = 0.1590909090909091; next nmcmc = 132
Retired point with ll = -5.0895907738557095e6; accept = 0.09848484848484848; next nmcmc = 132
Retired point with ll = -4.916357681888518e6; accept = 0.2727272727272727; next nmcmc = 132
Retired point with ll = -4.870171997119333e6; accept = 0.14393939393939395; next nmcmc = 132
Retired point with ll = -4.864398326239612e6; accept = 0.15151515151515152; next nmcmc = 132
Retired point with ll = -4.844558851591444e6; accept = 0.17424242424242425; next nmcmc = 132
Retired point with ll = -4.833639144585969e6; accept = 0.2878787878787879; next nmcmc = 131
Retired point with ll = -4.718782487399877e6; accept = 0.19083969465648856; next nmcmc = 131
Retired point with ll = -4.601139385306561e6; accept = 0.11450381679389313; next nmcmc = 131
Retired point with ll = -4.583227078453992e6; accept = 0.09923664122137404; next nmcmc = 132
Retired point with ll = -4.5786678111389065e6; accept = 0.12878787878787878; next nmcmc = 132
Retired point with ll = -4.522994324175039e6; accept = 0.17424242424242425; next nmcmc = 132
Retired point with ll = -4.415902611629369e6; accept = 0.1590909090909091; next nmcmc = 132
Retired point with ll = -4.40137447691526e6; accept = 0.09848484848484848; next nmcmc = 132
Retired point with ll = -4.342872240898556e6; accept = 0.21212121212121213; next nmcmc = 132
Retired point with ll = -4.331247291885132e6; accept = 0.1590909090909091; next nmcmc = 132
Retired point with ll = -4.324794942625008e6; accept = 0.15151515151515152; next nmcmc = 131
Retired point with ll = -4.285893383286971e6; accept = 0.0916030534351145; next nmcmc = 132
Retired point with ll = -4.234900969525227e6; accept = 0.16666666666666666; next nmcmc = 132
Retired point with ll = -4.2287000111426795e6; accept = 0.20454545454545456; next nmcmc = 132
Retired point with ll = -4.226374707609926e6; accept = 0.10606060606060606; next nmcmc = 132
Retired point with ll = -4.225874093259027e6; accept = 0.17424242424242425; next nmcmc = 132
Retired point with ll = -4.215948556973832e6; accept = 0.06818181818181818; next nmcmc = 132
Retired point with ll = -4.1793146995213525e6; accept = 0.10606060606060606; next nmcmc = 132
Retired point with ll = -4.1287085833954182e6; accept = 0.12878787878787878; next nmcmc = 132
Retired point with ll = -4.1077140221454124e6; accept = 0.022727272727272728; next nmcmc = 132
Retired point with ll = -4.104697640813984e6; accept = 0.17424242424242425; next nmcmc = 132
Retired point with ll = -4.096735674872678e6; accept = 0.18181818181818182; next nmcmc = 132
Retired point with ll = -4.060754593956804e6; accept = 0.18181818181818182; next nmcmc = 132
Retired point with ll = -3.9924741855868427e6; accept = 0.13636363636363635; next nmcmc = 132
Retired point with ll = -3.890101262604136e6; accept = 0.08333333333333333; next nmcmc = 132
Retired point with ll = -3.8167953213652596e6; accept = 0.09090909090909091; next nmcmc = 133
Retired point with ll = -3.8019018343150164e6; accept = 0.15789473684210525; next nmcmc = 133
Retired point with ll = -3.743181550459699e6; accept = 0.18796992481203006; next nmcmc = 132
Retired point with ll = -3.721740256808505e6; accept = 0.16666666666666666; next nmcmc = 132
Retired point with ll = -3.6749771159204347e6; accept = 0.15151515151515152; next nmcmc = 132
Retired point with ll = -3.572963973167378e6; accept = 0.13636363636363635; next nmcmc = 132
Retired point with ll = -3.552582879919992e6; accept = 0.15151515151515152; next nmcmc = 132
Retired point with ll = -3.4861127701750947e6; accept = 0.1590909090909091; next nmcmc = 132
Retired point with ll = -3.4347343522013375e6; accept = 0.13636363636363635; next nmcmc = 132
Retired point with ll = -3.4203366071318486e6; accept = 0.08333333333333333; next nmcmc = 133
Retired point with ll = -3.3720948056353577e6; accept = 0.17293233082706766; next nmcmc = 133
Retired point with ll = -3.371751961962508e6; accept = 0.14285714285714285; next nmcmc = 133
Retired point with ll = -3.343131862382209e6; accept = 0.12030075187969924; next nmcmc = 133
